raw_symbol,canonical_symbol,effective_from,effective_to
SPY,SPY,2010-01-04,
QQQ,QQQ,2010-01-04,
IWM,IWM,2010-01-04,
XLK,XLK,2010-01-04,
XLF,XLF,2010-01-04,
XLE,XLE,2010-01-04,
XLV,XLV,2010-01-04,
XLI,XLI,2010-01-04,
XLP,XLP,2010-01-04,
XLY,XLY,2010-01-04,
XLU,XLU,2010-01-04,
TLT,TLT,2010-01-04,
IEF,IEF,2010-01-04,
GLD,GLD,2010-01-04,
SLV,SLV,2010-01-04,
USO,USO,2010-01-04,
SHY,SHY,2010-01-04,
