raw_symbol,canonical_symbol,effective_from,effective_to
AAPL,AAPL,2024-01-01T00:00:00,
MSFT,MSFT,2024-01-01T00:00:00,
NVDA,NVDA,2024-01-01T00:00:00,
AMZN,AMZN,2024-01-01T00:00:00,
META,META,2024-01-01T00:00:00,
GOOGL,GOOGL,2024-01-01T00:00:00,
JPM,JPM,2024-01-01T00:00:00,
XOM,XOM,2024-01-01T00:00:00,
JNJ,JNJ,2024-01-01T00:00:00,
PG,PG,2024-01-01T00:00:00,
UNH,UNH,2024-01-01T00:00:00,
HD,HD,2024-01-01T00:00:00,
