raw_symbol,canonical_symbol,effective_from,effective_to
AAPL,AAPL,2025-01-01T00:00:00,
MSFT,MSFT,2025-01-01T00:00:00,
NVDA,NVDA,2025-01-01T00:00:00,
AMZN,AMZN,2025-01-01T00:00:00,
META,META,2025-01-01T00:00:00,
GOOGL,GOOGL,2025-01-01T00:00:00,
JPM,JPM,2025-01-01T00:00:00,
XOM,XOM,2025-01-01T00:00:00,
JNJ,JNJ,2025-01-01T00:00:00,
PG,PG,2025-01-01T00:00:00,
UNH,UNH,2025-01-01T00:00:00,
HD,HD,2025-01-01T00:00:00,
